code,country,year,avoidable_deaths
ARG,Argentina,2000,135.9
ARG,Argentina,2000,473.9
ARG,Argentina,2000,45802.0
ARG,Argentina,2000,97487.0
ARG,Argentina,2000,91.3
ARG,Argentina,2000,62750.0
ARG,Argentina,2000,13811.5
ARG,Argentina,2000,20925.5
ARG,Argentina,2000,159.2
ARG,Argentina,2000,286.4
ARG,Argentina,2000,24876.5
ARG,Argentina,2000,51685.0
ARG,Argentina,2000,187.6
ARG,Argentina,2000,34737.0
ARG,Argentina,2000,227.2
ARG,Argentina,2000,37873.5
ARG,Argentina,2000,182.3
ARG,Argentina,2000,341.5
ARG,Argentina,2001,135.3
ARG,Argentina,2001,469.9
ARG,Argentina,2001,45797.0
ARG,Argentina,2001,97485.0
ARG,Argentina,2001,90.2
ARG,Argentina,2001,62718.0
ARG,Argentina,2001,13827.0
ARG,Argentina,2001,20940.0
ARG,Argentina,2001,158.7
ARG,Argentina,2001,282.7
ARG,Argentina,2001,24857.0
ARG,Argentina,2001,51688.0
ARG,Argentina,2001,187.2
ARG,Argentina,2001,34767.0
ARG,Argentina,2001,225.5
ARG,Argentina,2001,37861.0
ARG,Argentina,2001,180.0
ARG,Argentina,2001,338.7
ARG,Argentina,2002,135.1
ARG,Argentina,2002,465.4
ARG,Argentina,2002,46424.0
ARG,Argentina,2002,97594.0
ARG,Argentina,2002,88.2
ARG,Argentina,2002,13539.0
ARG,Argentina,2002,21218.0
ARG,Argentina,2002,158.6
ARG,Argentina,2002,278.0
ARG,Argentina,2002,25206.0
ARG,Argentina,2002,51170.0
ARG,Argentina,2002,187.4
ARG,Argentina,2002,34757.0
ARG,Argentina,2002,223.3
ARG,Argentina,2002,62837.0
ARG,Argentina,2002,37631.0
ARG,Argentina,2002,176.9
ARG,Argentina,2002,335.5
ARG,Argentina,2003,138.1
ARG,Argentina,2003,465.4
ARG,Argentina,2003,47526.0
ARG,Argentina,2003,98405.0
ARG,Argentina,2003,89.2
ARG,Argentina,2003,13764.5
ARG,Argentina,2003,21776.5
ARG,Argentina,2003,161.7
ARG,Argentina,2003,274.9
ARG,Argentina,2003,25749.5
ARG,Argentina,2003,50879.0
ARG,Argentina,2003,190.5
ARG,Argentina,2003,35541.0
ARG,Argentina,2003,227.4
ARG,Argentina,2003,62864.0
ARG,Argentina,2003,37114.5
ARG,Argentina,2003,175.7
ARG,Argentina,2003,337.5
ARG,Argentina,2004,132.4
