country,code,year,gdp_in_usd
Australia,AUS,2000,416167815092.908
Austria,AUT,2000,197289625479.906
Belgium,BEL,2000,236792460312.471
Canada,CAN,2000,744773415931.587
Costa Rica,CRI,2000,15013629658.6521
Czechia,CZE,2000,61828166496.0941
Denmark,DNK,2000,164158739097.623
Estonia,EST,2000,5686579747.53524
Finland,FIN,2000,126019543413.334
France,FRA,2000,1365639660792.16
Germany,DEU,2000,1947981991011.77
Hungary,HUN,2000,47218405892.4258
Iceland,ISL,2000,9025660361.75842
Ireland,IRL,2000,100207610429.909
Israel,ISR,2000,136035771711.672
Italy,ITA,2000,1146676894209.73
"Korea, Rep.",KOR,2000,576179387819.613
Luxembourg,LUX,2000,21230182989.3036
Mexico,MEX,2000,742061329643.37
Netherlands,NLD,2000,417479337444.707
New Zealand,NZL,2000,52623281956.7031
Poland,POL,2000,172220451786.957
Portugal,PRT,2000,118605192877.388
Slovak Republic,SVK,2000,29242558796.5507
Slovenia,SVN,2000,20289627636.6767
Spain,ESP,2000,598363313494.903
Switzerland,CHE,2000,279216033870.204
Turkiye,TUR,2000,274294623164.043
United Kingdom,GBR,2000,1665534876683.31
United States,USA,2000,10250952000000
Australia,AUS,2001,379629301675.108
Austria,AUT,2001,197508773215.323
Belgium,BEL,2001,236746141604.37
Canada,CAN,2001,738981792355.372
Costa Rica,CRI,2001,15976174336.9721
Czechia,CZE,2001,67808032979.5429
Denmark,DNK,2001,164791442543.375
Estonia,EST,2001,6254649538.98487
Finland,FIN,2001,129533107311.811
France,FRA,2001,1377657339291.34
Germany,DEU,2001,1945790973803.15
Hungary,HUN,2001,53749989092.0197
Iceland,ISL,2001,8234846804.60582
Ireland,IRL,2001,109346669229.695
Israel,ISR,2001,134635822098.58
Italy,ITA,2001,1168023426056.38
"Korea, Rep.",KOR,2001,547656279894.587
Luxembourg,LUX,2001,21387533703.2327
Mexico,MEX,2001,796064590656.176
Netherlands,NLD,2001,431586852369.686
New Zealand,NZL,2001,53872425916.6248
Poland,POL,2001,190905493539.168
Portugal,PRT,2001,121604107164.997
Slovak Republic,SVK,2001,30778781606.9575
Slovenia,SVN,2001,20876309970.385
Spain,ESP,2001,627830029412.205
Switzerland,CHE,2001,286582672434.226
Turkiye,TUR,2001,201753123806.695
United Kingdom,GBR,2001,1649827263567.01
United States,USA,2001,10581929000000
Australia,AUS,2002,395788696012.059
Austria,AUT,2002,214394866675.24
Belgium,BEL,2002,258383599375.177
Canada,CAN,2002,760649334098.005
Costa Rica,CRI,2002,16578820687.2881
Czechia,CZE,2002,82196001050.7474
Denmark,DNK,2002,178635163717.431
Estonia,EST,2002,7367975887.72723
Finland,FIN,2002,140404460203.138
France,FRA,2002,1501409382971.38
Germany,DEU,2002,2078484517474.51
Hungary,HUN,2002,67608919144.3684
Iceland,ISL,2002,9318395054.85934
Ireland,IRL,2002,128596035288.401
Israel,ISR,2002,125060622862.932
Italy,ITA,2002,1276769338449.3
"Korea, Rep.",KOR,2002,627246933729.618
Luxembourg,LUX,2002,23649833332.1655
Mexico,MEX,2002,810666116505.478
Netherlands,NLD,2002,473861980070.981
New Zealand,NZL,2002,66627729311.4495
Poland,POL,2002,199070448694.9
Portugal,PRT,2002,134795565549.419
Slovak Republic,SVK,2002,35297794385.6863
Slovenia,SVN,2002,23489890274.3142
Spain,ESP,2002,708756677088.629
Switzerland,CHE,2002,309301422430.386
Turkiye,TUR,2002,240249071871.106
United Kingdom,GBR,2002,1785729916067.15
United States,USA,2002,10929108000000
Australia,AUS,2003,467739079790.332
Austria,AUT,2003,262273631180.054
Belgium,BEL,2003,318082528506.588
Canada,CAN,2003,895540646634.787
Costa Rica,CRI,2003,17271760506.9483
Czechia,CZE,2003,100090467581.268
Denmark,DNK,2003,218096033517.009
Estonia,EST,2003,9874013098.46432
Finland,FIN,2003,171652458349.411
France,FRA,2003,1844544792036.86
Germany,DEU,2003,2501640388482.35
Hungary,HUN,2003,85285062818.0077
Iceland,ISL,2003,11429333037.8443
Ireland,IRL,2003,164670771259.602
Israel,ISR,2003,131299915899.958
Italy,ITA,2003,1577621707050.51
"Korea, Rep.",KOR,2003,702714855193.904
Luxembourg,LUX,2003,29667268248.1305
Mexico,MEX,2003,765549967703.273
Netherlands,NLD,2003,580070360701.96
New Zealand,NZL,2003,88250885550.2626
Poland,POL,2003,217828661056.935
Portugal,PRT,2003,165226175536.793
Slovak Republic,SVK,2003,46919965224.1497
Slovenia,SVN,2003,29634713641.0968
Spain,ESP,2003,907491523174.116
Switzerland,CHE,2003,362075086507.76
Turkiye,TUR,2003,314595572145.767
United Kingdom,GBR,2003,2054422857142.86
United States,USA,2003,11456450000000
Australia,AUS,2004,614659980082.515
Austria,AUT,2004,301457562038.541
Belgium,BEL,2004,369214712443.206
Canada,CAN,2004,1026690238278.25
Costa Rica,CRI,2004,18610594846.2083
Czechia,CZE,2004,119814434353.575
