code,country,year,hospital_stay_length
AUS,Australia,2000,5.2
AUS,Australia,2000,7.9
AUS,Australia,2000,4.2
AUS,Australia,2000,4.6
AUS,Australia,2000,6.1
AUS,Australia,2000,5.3
AUS,Australia,2000,2.9
AUS,Australia,2000,8.0
AUS,Australia,2000,8.8
AUS,Australia,2000,7.5
AUS,Australia,2000,1.6
AUS,Australia,2000,4.4
AUS,Australia,2000,10.4
AUS,Australia,2000,5.6
AUS,Australia,2000,9.3
AUS,Australia,2000,6.5
AUS,Australia,2000,5.3
AUS,Australia,2000,5.9
AUS,Australia,2000,4.5
AUS,Australia,2000,6.9
AUS,Australia,2000,5.6
AUS,Australia,2000,9.9
AUS,Australia,2000,8.6
AUS,Australia,2000,7.4
AUS,Australia,2000,17.4
AUS,Australia,2000,2.5
AUS,Australia,2000,1.4
AUS,Australia,2000,155.9
AUS,Australia,2000,2.6
AUS,Australia,2000,16.8
AUS,Australia,2000,7.6
AUS,Australia,2000,2.6
AUS,Australia,2000,7.4
AUS,Australia,2000,12.8
AUS,Australia,2000,6.1
AUS,Australia,2000,4.9
AUS,Australia,2000,5.9
AUS,Australia,2000,3.1
AUS,Australia,2000,2.5
AUS,Australia,2000,13.5
AUS,Australia,2000,4.6
AUS,Australia,2000,5.5
AUS,Australia,2000,2.2
AUS,Australia,2000,2.7
AUS,Australia,2000,40.0
AUS,Australia,2000,9.2
AUS,Australia,2000,4.2
AUS,Australia,2000,15.3
AUS,Australia,2000,9.9
AUS,Australia,2000,6.0
AUS,Australia,2000,6.7
AUS,Australia,2000,26.2
AUS,Australia,2000,15.6
AUS,Australia,2000,33.2
AUS,Australia,2000,8.5
AUS,Australia,2000,7.5
AUS,Australia,2000,8.2
AUS,Australia,2000,6.6
AUS,Australia,2000,5.1
AUS,Australia,2000,4.6
AUS,Australia,2000,6.0
AUS,Australia,2000,4.9
AUS,Australia,2000,4.4
AUS,Australia,2000,4.6
AUS,Australia,2000,5.0
AUS,Australia,2000,9.3
AUS,Australia,2000,3.8
AUS,Australia,2000,7.6
AUS,Australia,2000,7.3
AUS,Australia,2000,4.3
AUS,Australia,2000,5.2
AUS,Australia,2000,7.3
AUS,Australia,2000,7.6
AUS,Australia,2000,11.7
AUS,Australia,2000,9.5
AUS,Australia,2000,10.1
AUS,Australia,2000,15.2
AUS,Australia,2000,4.3
AUS,Australia,2000,2.9
AUS,Australia,2000,2.3
AUS,Australia,2000,15.8
AUS,Australia,2000,4.6
AUS,Australia,2000,6.4
AUS,Australia,2000,7.0
AUS,Australia,2000,4.4
AUS,Australia,2000,1.2
AUS,Australia,2000,6.7
AUS,Australia,2000,4.9
AUS,Australia,2000,2.4
AUS,Australia,2000,12.2
AUS,Australia,2000,8.7
AUS,Australia,2000,2.9
AUS,Australia,2000,8.0
AUS,Australia,2000,4.3
AUS,Australia,2000,8.6
AUS,Australia,2000,4.4
AUS,Australia,2000,6.8
AUS,Australia,2000,5.0
AUS,Australia,2000,6.5
AUS,Australia,2000,5.7
AUS,Australia,2000,1.2
AUS,Australia,2000,2.8
AUS,Australia,2000,2.3
AUS,Australia,2000,4.9
AUS,Australia,2000,5.2
AUS,Australia,2000,1.9
AUS,Australia,2000,5.1
AUS,Australia,2000,5.5
AUS,Australia,2000,3.7
AUS,Australia,2000,3.1
AUS,Australia,2000,9.8
AUS,Australia,2000,17.9
AUS,Australia,2000,2.9
AUS,Australia,2000,5.2
AUS,Australia,2000,3.8
AUS,Australia,2000,1.6
AUS,Australia,2000,4.2
AUS,Australia,2000,4.1
AUS,Australia,2000,3.8
AUS,Australia,2000,1.7
AUS,Australia,2000,3.0
AUS,Australia,2000,3.2
AUS,Australia,2000,3.7
AUS,Australia,2000,4.3
AUS,Australia,2000,2.6
AUS,Australia,2000,2.2
AUS,Australia,2000,9.8
AUS,Australia,2000,2.5
AUS,Australia,2000,3.3
AUS,Australia,2000,3.1
AUS,Australia,2000,5.1
AUS,Australia,2000,4.0
AUS,Australia,2000,6.9
AUS,Australia,2000,6.2
AUS,Australia,2000,1.9
AUS,Australia,2000,3.6
AUS,Australia,2000,7.6
AUS,Australia,2000,6.6
AUS,Australia,2000,4.1
AUS,Australia,2000,3.3
AUS,Australia,2000,1.7
AUS,Australia,2000,3.4
AUS,Australia,2000,4.1
AUS,Australia,2000,2.9
AUS,Australia,2000,8.6
AUS,Australia,2000,4.2
AUS,Australia,2000,1.6
AUS,Australia,2000,8.0
AUS,Australia,2001,5.1
AUS,Australia,2001,7.9
AUS,Australia,2001,4.1
AUS,Australia,2001,4.5
AUS,Australia,2001,6.0
AUS,Australia,2001,5.2
AUS,Australia,2001,2.8
AUS,Australia,2001,8.3
AUS,Australia,2001,8.5
AUS,Australia,2001,7.4
AUS,Australia,2001,1.6
AUS,Australia,2001,4.3
AUS,Australia,2001,10.5
AUS,Australia,2001,5.5
AUS,Australia,2001,8.8
AUS,Australia,2001,6.5
AUS,Australia,2001,5.3
AUS,Australia,2001,5.9
AUS,Australia,2001,4.5
AUS,Australia,2001,7.1
AUS,Australia,2001,5.6
AUS,Australia,2001,9.6
AUS,Australia,2001,8.7
AUS,Australia,2001,7.7
AUS,Australia,2001,17.8
AUS,Australia,2001,17.2
AUS,Australia,2001,2.6
AUS,Australia,2001,1.4
AUS,Australia,2001,2.8
AUS,Australia,2001,2.5
AUS,Australia,2001,7.3
AUS,Australia,2001,2.7
AUS,Australia,2001,7.5
AUS,Australia,2001,12.7
AUS,Australia,2001,6.1
AUS,Australia,2001,4.9
AUS,Australia,2001,7.4
AUS,Australia,2001,3.1
AUS,Australia,2001,2.5
AUS,Australia,2001,11.5
AUS,Australia,2001,4.4
AUS,Australia,2001,5.6
AUS,Australia,2001,2.2
AUS,Australia,2001,2.7
AUS,Australia,2001,36.5
AUS,Australia,2001,11.2
AUS,Australia,2001,4.1
AUS,Australia,2001,15.0
AUS,Australia,2001,10.6
AUS,Australia,2001,5.7
AUS,Australia,2001,8.4
AUS,Australia,2001,7.7
AUS,Australia,2001,31.6
AUS,Australia,2001,17.4
AUS,Australia,2001,40.2
AUS,Australia,2001,7.2
AUS,Australia,2001,8.0
AUS,Australia,2001,6.2
AUS,Australia,2001,5.2
AUS,Australia,2001,4.6
AUS,Australia,2001,6.2
AUS,Australia,2001,5.2
AUS,Australia,2001,4.3
AUS,Australia,2001,4.5
AUS,Australia,2001,5.1
AUS,Australia,2001,9.5
AUS,Australia,2001,3.7
AUS,Australia,2001,8.4
AUS,Australia,2001,7.5
AUS,Australia,2001,4.3
AUS,Australia,2001,5.0
AUS,Australia,2001,7.3
AUS,Australia,2001,7.7
AUS,Australia,2001,11.6
AUS,Australia,2001,9.8
AUS,Australia,2001,10.2
AUS,Australia,2001,16.4
AUS,Australia,2001,4.2
AUS,Australia,2001,2.9
AUS,Australia,2001,2.4
AUS,Australia,2001,15.1
AUS,Australia,2001,4.7
AUS,Australia,2001,6.5
AUS,Australia,2001,7.0
AUS,Australia,2001,4.3
AUS,Australia,2001,1.1
AUS,Australia,2001,6.5
