code,country,year,available_adult_icu_beds
AUS,Australia,2015,0.0
AUS,Australia,2015,4.0
AUS,Australia,2015,1656.0
AUS,Australia,2015,2227.0
AUS,Australia,2015,401.0
AUS,Australia,2015,102.0
AUS,Australia,2015,1724.0
AUS,Australia,2015,1.68
AUS,Australia,2015,0.43
AUS,Australia,2015,6.95
AUS,Australia,2015,7.24
AUS,Australia,2015,9.35
AUS,Australia,2015,70.2
AUS,Australia,2015,80.9
AUS,Australia,2016,0.0
AUS,Australia,2016,0.0
AUS,Australia,2016,1822.0
AUS,Australia,2016,1749.0
AUS,Australia,2016,2338.0
AUS,Australia,2016,406.0
AUS,Australia,2016,110.0
AUS,Australia,2016,1.68
AUS,Australia,2016,0.45
AUS,Australia,2016,7.23
AUS,Australia,2016,7.53
AUS,Australia,2016,9.66
AUS,Australia,2016,68.9
AUS,Australia,2016,79.0
AUS,Australia,2017,0.0
AUS,Australia,2017,0.0
AUS,Australia,2017,1860.0
AUS,Australia,2017,1760.0
AUS,Australia,2017,2394.0
AUS,Australia,2017,414.0
AUS,Australia,2017,120.0
AUS,Australia,2017,1.68
AUS,Australia,2017,0.49
AUS,Australia,2017,7.16
AUS,Australia,2017,7.56
AUS,Australia,2017,9.73
AUS,Australia,2017,68.2
AUS,Australia,2017,78.9
AUS,Australia,2018,0.0
AUS,Australia,2018,0.0
AUS,Australia,2018,1965.0
AUS,Australia,2018,1846.0
AUS,Australia,2018,2514.0
AUS,Australia,2018,423.0
AUS,Australia,2018,126.0
AUS,Australia,2018,0.5
AUS,Australia,2018,1.69
AUS,Australia,2018,7.39
AUS,Australia,2018,7.87
AUS,Australia,2018,10.07
AUS,Australia,2018,68.6
AUS,Australia,2018,79.5
AUS,Australia,2019,20.0
AUS,Australia,2019,0.0
AUS,Australia,2019,2055.0
AUS,Australia,2019,1928.0
AUS,Australia,2019,2618.0
AUS,Australia,2019,430.0
AUS,Australia,2019,133.0
AUS,Australia,2019,0.52
AUS,Australia,2019,1.7
AUS,Australia,2019,7.61
AUS,Australia,2019,8.11
AUS,Australia,2019,10.33
AUS,Australia,2019,71.8
AUS,Australia,2019,83.5
AUT,Austria,2004,1994.0
AUT,Austria,2004,24.41
AUT,Austria,2005,2045.0
AUT,Austria,2005,24.86
AUT,Austria,2006,2108.0
AUT,Austria,2006,25.5
AUT,Austria,2007,2196.0
AUT,Austria,2007,26.47
AUT,Austria,2008,2218.0
AUT,Austria,2008,26.65
AUT,Austria,2009,2260.0
AUT,Austria,2009,27.1
AUT,Austria,2010,2296.0
AUT,Austria,2010,27.46
AUT,Austria,2011,2305.0
AUT,Austria,2011,27.48
AUT,Austria,2012,2357.0
AUT,Austria,2012,27.97
AUT,Austria,2013,2365.0
AUT,Austria,2013,27.9
AUT,Austria,2014,2364.0
AUT,Austria,2014,27.67
AUT,Austria,2015,520686.0
AUT,Austria,2015,1151.0
AUT,Austria,2015,1878.0
AUT,Austria,2015,2369.0
