code,country,year,med_tech_availability_p_mil_ppl
AUS,Australia,2000,99.0
AUS,Australia,2000,67.0
AUS,Australia,2000,500.0
AUS,Australia,2000,5.2
AUS,Australia,2000,26.28
AUS,Australia,2000,3.52
AUS,Australia,2001,99.0
AUS,Australia,2001,73.0
AUS,Australia,2001,560.0
AUS,Australia,2001,5.14
AUS,Australia,2001,29.05
AUS,Australia,2001,3.79
AUS,Australia,2002,107.0
AUS,Australia,2002,73.0
AUS,Australia,2002,670.0
AUS,Australia,2002,5.49
AUS,Australia,2002,34.37
AUS,Australia,2002,3.74
AUS,Australia,2003,73.0
AUS,Australia,2003,800.0
AUS,Australia,2003,40.57
AUS,Australia,2003,3.7
AUS,Australia,2004,75.0
AUS,Australia,2004,910.0
AUS,Australia,2004,45.65
AUS,Australia,2004,3.76
AUS,Australia,2005,123.0
AUS,Australia,2005,86.0
AUS,Australia,2005,511.0
AUS,Australia,2005,1040.0
AUS,Australia,2005,6.1
AUS,Australia,2005,51.54
AUS,Australia,2005,25.33
AUS,Australia,2005,4.26
AUS,Australia,2006,127.0
AUS,Australia,2006,100.0
AUS,Australia,2006,506.0
AUS,Australia,2006,1160.0
AUS,Australia,2006,6.21
AUS,Australia,2006,56.72
AUS,Australia,2006,24.74
AUS,Australia,2006,4.89
AUS,Australia,2007,108.0
AUS,Australia,2007,508.0
AUS,Australia,2007,24.39
AUS,Australia,2007,5.19
AUS,Australia,2008,168.0
AUS,Australia,2008,120.0
AUS,Australia,2008,500.0
AUS,Australia,2008,419.0
AUS,Australia,2008,15.0
AUS,Australia,2008,7.91
AUS,Australia,2008,19.72
AUS,Australia,2008,23.53
AUS,Australia,2008,0.71
AUS,Australia,2008,5.65
AUS,Australia,2009,193.0
AUS,Australia,2009,124.0
AUS,Australia,2009,534.0
AUS,Australia,2009,441.0
AUS,Australia,2009,24.0
AUS,Australia,2009,849.0
AUS,Australia,2009,8.9
AUS,Australia,2009,39.14
AUS,Australia,2009,20.33
AUS,Australia,2009,24.62
AUS,Australia,2009,1.11
AUS,Australia,2009,5.72
AUS,Australia,2010,205.0
AUS,Australia,2010,125.0
AUS,Australia,2010,533.0
AUS,Australia,2010,455.0
AUS,Australia,2010,31.0
AUS,Australia,2010,949.0
AUS,Australia,2010,9.3
AUS,Australia,2010,43.07
AUS,Australia,2010,20.65
AUS,Australia,2010,24.19
AUS,Australia,2010,1.41
AUS,Australia,2010,5.67
AUS,Australia,2011,205.0
AUS,Australia,2011,125.0
AUS,Australia,2011,520.0
AUS,Australia,2011,452.0
AUS,Australia,2011,32.0
AUS,Australia,2011,990.0
AUS,Australia,2011,9.18
AUS,Australia,2011,44.32
AUS,Australia,2011,20.23
AUS,Australia,2011,23.28
AUS,Australia,2011,1.43
