code,country,frequency_of_observation,measure,unit_of_measure,financing_scheme,financing_scheme_rev,health_function,mode_of_provision,provider,health_care_provider,year,health_expenditure_as_percent_gdp
LVA,Latvia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.098
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,3.246
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,3.504
BEL,Belgium,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.608
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,3.62
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,3.749
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,3.375
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,3.594
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,3.625
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,3.628
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,3.749
USA,United States,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,16.14
USA,United States,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,16.197
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,4.742
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,4.57
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,4.309
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,4.194
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,4.339
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,3.886
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,3.68
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,3.95
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,5.047
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,4.977
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,4.961
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,4.409
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,4.369
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,4.235
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,3.91
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,4.081
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,2.904
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,2.86
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,4.373
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,3.596
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,4.134
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,10.488
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.239
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.035
