code,country,measure,unit_of_measure,statistical_operation,year,available_adult_icu_beds,observation_status
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,142313.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,138785.0,
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2015,0.0,Estimated value
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2016,0.0,Estimated value
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2017,0.0,Estimated value
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,519976.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,521741.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,520974.0,
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2015,4.0,Estimated value
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2016,0.0,Estimated value
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2017,0.0,Estimated value
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2018,0.0,Estimated value
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2019,20.0,Estimated value
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2018,0.0,Estimated value
AUS,Australia,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2019,0.0,Estimated value
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,106296.0,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,106471.0,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,109607.0,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,111075.0,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,110387.0,Definition differs
CZE,Czechia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,1061935.0,
CZE,Czechia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,1036288.0,
CZE,Czechia,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2018,0.0,
CZE,Czechia,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2019,0.0,
CZE,Czechia,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2018,0.0,
CZE,Czechia,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2019,0.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,520686.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,520824.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,135392.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,128773.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,137807.0,
KOR,Korea,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,1963299.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2015,0.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2016,0.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2017,0.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2018,0.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2019,0.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2015,59.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2016,29.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2017,0.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2018,0.0,
ISR,Israel,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2019,0.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,235885.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,232436.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,232737.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,242113.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,245338.0,
HUN,Hungary,Adult intensive care unit (ICU) hospital bed occupancy over 95%,Days,Not applicable​​,2019,0.0,
HUN,Hungary,Adult intensive care unit (ICU) hospital bed occupancy over 80%,Days,Not applicable​​,2019,0.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,7279221.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,7353867.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,7344083.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,6993275.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,6585761.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,5370853.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,5471088.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,5493615.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,5562494.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,5556458.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,5156854.0,
HRV,Croatia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,134594.0,Definition differs
HRV,Croatia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,136982.0,Definition differs
HRV,Croatia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,136380.0,Definition differs
HRV,Croatia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,113847.0,Definition differs
HRV,Croatia,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,109420.0,Definition differs
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,5424337.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,6020565.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,6476702.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,6902829.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2015,289294.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2016,293137.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2017,278150.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2018,266772.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Days,Not applicable​​,2019,238826.0,
USA,United States,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,68702.0,
