ref_area,country,frequency_of_observation,measure,unit_of_measure,health_care_provider,asset_type,price_base,year,set_healtchare_capita_outcomes,base_period,unit_multiplier
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2007,4409.0,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2006,3120.0,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2005,2067.0,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2004,1405.0,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2003,603.0,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2002,443.0,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2001,310.0,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2018,0.242,,Units
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2017,9666.477,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2016,7215.637,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2011,3235.44,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2010,3054.884,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2009,2616.641,,Millions
TUR,Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2008,5420.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2004,0.233,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2003,0.25,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2002,0.258,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2001,0.307,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2016,0.258,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2015,0.302,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2014,0.24,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2013,0.279,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2012,0.251,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2011,0.31,,Units
ISR,Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2010,0.349,,Units
